CACode,VaCode,Estimate,ASE,Flag
C03F,V09C,12.2,1.7,
C03F,V09D,2.4,0.7,*
C03F,V10A,5.5,1.2,
C03F,V10B,23.6,2.3,
C03F,V10C,56.2,2.9,
C03F,V10D,14.8,2,
C03F,V10M,7,0.1,
C03F,V11A,8.9,1.4,
C03F,V11B,19.9,1.9,
C03F,V11C,45.4,2.8,
C03F,V11D,25.8,2.3,
C03F,V11M,7.2,0.1,
C03F,V12A,20.4,2.4,
C03F,V12B,30.7,2.2,
C03F,V12C,34.2,2.6,
C03F,V12D,14.6,2.1,
C03F,V12M,6.1,0.1,
C03F,V13A,3.5,1,
C03F,V13B,9.9,1.6,
C03F,V13C,38.2,2.5,
C03F,V13D,48.5,3,
C03F,V13M,8.1,0.1,
C03F,V14A,37.3,2.7,
C03F,V14B,38.1,2.9,
C03F,V14C,20.8,2.4,
C03F,V14D,3.8,1,
C03F,V14M,4.8,0.1,
C03F,V15A,86.6,1.7,
C03F,V15B,10.3,1.7,
C03F,V15C,3.1,0.9,*
C03F,V16A,87.7,1.5,
C03F,V16B,9.4,1.5,
C03F,V16C,2.9,0.8,
C03F,V17A,1.2,0.5,*
C03F,V17B,9.1,1.4,
C03F,V17C,20.3,1.9,
C03F,V17D,36.4,2.6,
C03F,V17E,33.1,2.6,
C03F,V18A,96.4,0.9,
C03F,V18B,3.6,0.9,
C03G,V00T,7.9,,B
C03G,V01A,13.6,3.5,
C03G,V01B,11.5,4.1,*
C03G,V01C,29,4.6,
C03G,V01D,18.5,4,
C03G,V01E,27.4,4.7,
C03G,V01M,8.1,0.2,
C03G,V02A,13.3,3.9,
C03G,V02B,10.3,3.2,*
C03G,V02C,27.3,4.7,
C03G,V02D,17.1,3.7,
C03G,V02E,32.1,4.3,
C03G,V02M,8.3,0.2,
C03G,V03A,10.8,3.1,
C03G,V03B,15.7,3.6,
C03G,V03C,32.5,5.3,
C03G,V03D,17.9,4.3,
C03G,V03E,23.1,4.6,
C03G,V03M,8.2,0.1,
C03G,V04A,3.8,2.1,**
C03G,V04B,22.6,4.7,
C03G,V04C,54.4,5.8,
C03G,V04D,19.1,3.9,
C03G,V05A,13.1,3.2,
C03G,V05B,33.5,4.7,
C03G,V05C,32.3,4.6,
C03G,V05D,21.1,4,
C03G,V06A,2.8,1.7,**
C03G,V06B,2.6,1.7,**
C03G,V06C,11.1,3.5,*
C03G,V06D,38.1,5.1,
C03G,V06E,45.4,5,
C03G,V06M,8,0.2,
C03G,V07A,69.9,4.7,
C03G,V07B,8.3,2.6,*
C03G,V07C,10.3,3.2,*
C03G,V07D,9.3,3.5,*
C03G,V07E,2.3,1.4,**
C03G,V07M,2,0.3,
C03G,V08A,9.1,2.7,
C03G,V09A,56.6,5.7,
C03G,V09B,22.4,4.3,
C03G,V09C,18.6,4.5,
C03G,V09D,2.4,1.6,**
C03G,V10A,4,1.5,*
C03G,V10B,26.6,4.5,
C03G,V10C,48.2,5,
C03G,V10D,21.2,4.1,
C03G,V10M,7.2,0.2,
C03G,V11A,6.9,3,*
C03G,V11B,16.7,3.8,
C03G,V11C,43.5,4.8,
C03G,V11D,32.9,5.3,
C03G,V11M,7.5,0.3,
C03G,V12A,16.1,3.5,
C03G,V12B,34.2,4.3,
C03G,V12C,36.7,5.1,
C03G,V12D,12.9,3.1,
C03G,V12M,6.2,0.3,
C03G,V13A,2.8,1.5,**
C03G,V13B,7.7,2.4,*
C03G,V13C,35.4,4.8,
C03G,V13D,54,5.1,
C03G,V13M,8.4,0.2,
C03G,V14A,32.1,5.1,
C03G,V14B,41.1,4.7,
C03G,V14C,22.6,3.9,
C03G,V14D,4.1,2.3,**
C03G,V14M,5,0.3,
C03G,V15A,90.2,3.2,
C03G,V15B,7.7,2.4,*
C03G,V15C,2.1,1.8,**
C03G,V16A,87.5,3.1,
C03G,V16B,9.9,2.8,
C03G,V16C,2.6,1.3,**
C03G,V17A,1.5,1.3,**
C03G,V17B,10.2,3,
C03G,V17C,27.9,4.3,
C03G,V17D,35.2,5,
C03G,V17E,25.3,4.7,
C03G,V18A,96.7,1.7,
C03G,V18B,3.3,1.7,**
C04A,V00T,70.2,1.1,
C04A,V01A,15,0.8,
C04A,V01B,18.3,1.1,
C04A,V01C,34,1.2,
C04A,V01D,17.1,1,
C04A,V01E,15.6,0.9,
C04A,V01M,7.8,0,
C04A,V02A,10.8,0.9,
C04A,V02B,16,0.8,
C04A,V02C,31.4,1,
C04A,V02D,19.4,1,
C04A,V02E,22.4,1.1,
C04A,V02M,8.2,0,
C04A,V03A,16.6,1,
C04A,V03B,22.1,1,
C04A,V03C,34,1.1,
